,time,ID,01VCU_Tx_trqMCURR,02VCU_Tx_nMCURR,03VCU_Tx_stMCURRKeyOn,04VCU_Tx_stMCURRActDischrg,05VCU_Tx_stMCURRActSC,06VCU_Tx_stMCURRReq,07VCU_Tx_stMCUCRRMod,08VCU_Tx_stMCURRTrqFlg,09VCU_Tx_stMCURRNFlg,10VCU_Tx_ctRolling8,11VCU_Tx_numChkS8
0,0.422646,515,30000,38268,1,0,0,0,0,0,0,6,104
1,0.9926780000000001,515,30000,38268,1,0,0,0,0,0,0,15,216
2,1.562396,515,30000,38268,1,0,0,0,0,0,0,8,72
3,2.132659,515,30000,38268,1,0,0,0,0,0,0,1,184
4,2.702624,515,30000,38268,1,0,0,0,0,0,0,10,40
5,3.272646,515,30000,38268,1,0,0,0,0,0,0,3,152
6,3.8426410000000004,515,30000,38268,1,0,0,0,0,0,0,12,8
7,4.412621,515,30000,38268,1,0,0,0,0,0,0,5,120
8,4.9826,515,30000,38268,1,0,0,0,0,0,0,14,232
9,5.55264,515,30000,38268,1,0,0,0,0,0,0,7,88
10,6.122614,515,30000,38268,1,0,0,0,0,0,0,0,200
11,6.692624,515,30000,38268,1,0,0,0,0,0,0,9,56
12,7.2621410000000015,515,30000,38268,1,0,0,0,0,0,0,2,168
13,7.8326350000000025,515,30000,38268,1,0,0,0,0,0,0,11,24
14,8.402586,515,30000,38268,1,0,0,0,0,0,0,4,136
15,8.972569,515,30000,38268,1,0,0,0,0,0,0,13,248
16,9.542564,515,30000,38268,1,0,0,0,0,0,0,6,104
17,10.112601,515,30000,38268,1,0,0,0,0,0,0,15,216
18,10.682566,515,30000,38268,1,0,0,0,0,0,0,8,72
19,11.252583,515,30000,38268,1,0,0,0,0,0,0,1,184
20,11.822606,515,30000,38268,1,0,0,0,0,0,0,10,40
21,12.392582,515,30000,38268,1,0,0,0,0,0,0,3,152
22,12.962128,515,30000,38268,1,0,0,0,0,0,0,12,8
23,13.532589999999999,515,30000,38268,1,0,0,0,0,0,0,5,120
24,14.102572,515,30000,38268,1,0,0,0,0,0,0,14,232
25,14.672557000000001,515,30000,38268,1,0,0,0,0,0,0,7,88
26,15.242523,515,30000,38268,1,0,0,0,0,0,0,0,200
27,15.812584,515,30000,38268,1,0,0,0,0,0,0,9,56
28,16.382569,515,30000,38268,1,0,0,0,0,0,0,2,168
29,16.95255,515,30000,38268,1,0,0,0,0,0,0,11,24
30,17.522561,515,30000,38268,1,0,0,0,0,0,0,4,136
31,18.092543,515,30000,38268,1,0,0,0,0,0,0,13,248
32,18.662111,515,30000,38268,1,0,0,0,0,0,0,6,104
33,19.232551,515,30000,38268,1,0,0,0,0,0,0,15,216
34,19.802509,515,30000,38268,1,0,0,0,0,0,0,8,72
35,20.372510000000002,515,30000,38268,1,0,0,0,0,0,0,1,184
36,20.942510000000002,515,30000,38268,1,0,0,0,0,0,0,10,40
37,21.512513000000002,515,30000,38268,1,0,0,0,0,0,0,3,152
38,22.082513,515,30000,38268,1,0,0,0,0,0,0,12,8
39,22.652504,515,30000,38268,1,0,0,0,0,0,0,5,120
40,23.222496,515,30000,38268,1,0,0,0,0,0,0,14,232
41,23.792497,515,30000,38268,1,0,0,0,0,0,0,7,88
42,24.362102,515,30000,38268,1,0,0,0,0,0,0,0,200
